,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
322,Zr3 Nb1 C4,"Full Formula (Zr3 Nb1 C4)
Reduced Formula: Zr3NbC4
abc   :   4.647636   4.647636   4.647636
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Nb     0     0     0
  5  Zr    -0     0.5   0.5
  6  Zr     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",430.952,241.085,179.253,26.156
323,Ta2 Cr2 C4,"Full Formula (Ta2 Cr2 C4)
Reduced Formula: TaCrC2
abc   :   4.314425   4.321310   4.321310
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  Cr    -0     0.5   0.5
  6  Ta     0.5   0     0.5
  7  Ta     0.5   0.5  -0",469.819,315.104,187.702,20.128
334,Ta1 Cr3 C4,"Full Formula (Ta1 Cr3 C4)
Reduced Formula: TaCr3C4
abc   :   4.208869   4.208869   4.208869
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0    -0
  5  Cr    -0     0.5   0.5
  6  Cr     0.5   0     0.5
  7  Ta     0.5   0.5  -0",415.59,321.721,161.745,14.4
335,Ta1 Ti1 Cr2 C4,"Full Formula (Ta1 Ti1 Cr2 C4)
Reduced Formula: TaTi(CrC2)2
abc   :   4.260877   4.268561   4.268561
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr     0    0    -0
  5  Cr    -0    0.5   0.5
  6  Ta     0.5  0     0.5
  7  Ti     0.5  0.5  -0",453.784,302.864,181.473,19.833
346,Ta1 V1 Cr2 C4,"Full Formula (Ta1 V1 Cr2 C4)
Reduced Formula: TaV(CrC2)2
abc   :   4.230853   4.224063   4.224063
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr    -0    0     0
  5  Cr    -0    0.5   0.5
  6  Ta     0.5  0     0.5
  7  V      0.5  0.5   0",453.532,315.773,179.884,18.416
357,Ta1 Cr2 W1 C4,"Full Formula (Ta1 Cr2 W1 C4)
Reduced Formula: TaCr2WC4
abc   :   4.279016   4.288428   4.288428
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  Cr     0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  W      0.5   0.5  -0",462.526,337.962,181.824,17.16
368,Zr1 Ta1 Cr2 C4,"Full Formula (Zr1 Ta1 Cr2 C4)
Reduced Formula: ZrTa(CrC2)2
abc   :   4.342845   4.385156   4.385156
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0    -0
  5  Cr    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  Zr    0.5   0.5   0",415.72,275.383,166.501,18.944
374,Ta3 Ti1 C4,"Full Formula (Ta3 Ti1 C4)
Reduced Formula: Ta3TiC4
abc   :   4.443674   4.443674   4.443674
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0     0     0
  5  Ta    0     0.5   0.5
  6  Ta    0.5   0     0.5
  7  Ti    0.5   0.5   0",563.648,322.821,233.105,29.842
375,Ta3 V1 C4,"Full Formula (Ta3 V1 C4)
Reduced Formula: Ta3VC4
abc   :   4.416983   4.416983   4.416983
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b     c
---  ----  ---  ---  ----
  0  C     0    0.5  -0
  1  C     0.5  0    -0
  2  C     0    0     0.5
  3  C     0.5  0.5   0.5
  4  Ta    0    0     0
  5  Ta    0    0.5   0.5
  6  Ta    0.5  0     0.5
  7  V     0.5  0.5  -0",461.767,328.024,182.462,18.003
376,Ta3 W1 C4,"Full Formula (Ta3 W1 C4)
Reduced Formula: Ta3WC4
abc   :   4.448279   4.448279   4.448279
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5   0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0    -0    -0
  5  Ta    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  W     0.5   0.5   0",568.016,348.792,231.168,26.574
377,Zr1 Ta3 C4,"Full Formula (Zr1 Ta3 C4)
Reduced Formula: ZrTa3C4
abc   :   4.522976   4.522976   4.522976
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta    -0    0    -0
  5  Ta    -0    0.5   0.5
  6  Ta     0.5  0     0.5
  7  Zr     0.5  0.5   0",541.804,307.446,224.575,29.57
378,Ta2 Ti2 C4,"Full Formula (Ta2 Ti2 C4)
Reduced Formula: TaTiC2
abc   :   4.402424   4.416759   4.416759
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0     0    -0
  5  Ta     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Ti     0.5   0.5  -0",514.115,306.283,210.662,26.252
379,Ti2 Cr2 C4,"Full Formula (Ti2 Cr2 C4)
Reduced Formula: TiCrC2
abc   :   4.181230   4.214802   4.214802
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0    -0
  5  Cr    -0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Ti     0.5   0.5  -0",446.694,292.757,179.295,20.258
380,Ta2 Ti1 V1 C4,"Full Formula (Ta2 Ti1 V1 C4)
Reduced Formula: Ta2TiVC4
abc   :   4.371247   4.382624   4.382624
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0     0    -0
  5  Ta    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  V      0.5   0.5   0",552.723,312.977,229.219,30.063
381,Ta2 Ti1 W1 C4,"Full Formula (Ta2 Ti1 W1 C4)
Reduced Formula: Ta2TiWC4
abc   :   4.424105   4.410643   4.410643
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0     0     0
  5  Ta    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  W      0.5   0.5   0",487.399,330.095,194.352,20.283
382,Zr1 Ta2 Ti1 C4,"Full Formula (Zr1 Ta2 Ti1 C4)
Reduced Formula: ZrTa2TiC4
abc   :   4.495346   4.501051   4.501051
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0    -0
  5  Ta     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Zr     0.5   0.5   0",487.574,290.622,199.762,25.339
383,Ta2 V2 C4,"Full Formula (Ta2 V2 C4)
Reduced Formula: TaVC2
abc   :   4.334418   4.352886   4.352886
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0     0     0
  5  Ta    -0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5   0",484.957,320.685,194.3,21.07
384,Ta2 V1 W1 C4,"Full Formula (Ta2 V1 W1 C4)
Reduced Formula: Ta2VWC4
abc   :   4.389901   4.385306   4.385306
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0    -0
  5  Ta    -0     0.5   0.5
  6  V      0.5  -0     0.5
  7  W      0.5   0.5   0",553.688,335.128,226.062,26.797
385,Zr1 Ta2 V1 C4,"Full Formula (Zr1 Ta2 V1 C4)
Reduced Formula: ZrTa2VC4
abc   :   4.473356   4.466314   4.466314
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0     0
  5  Ta    -0     0.5   0.5
  6  V      0.5  -0     0.5
  7  Zr     0.5   0.5  -0",514.374,296.173,212.456,27.874
386,Ta2 W2 C4,"Full Formula (Ta2 W2 C4)
Reduced Formula: TaWC2
abc   :   4.421911   4.425380   4.425380
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0     0
  5  Ta     0     0.5   0.5
  6  W      0.5   0     0.5
  7  W      0.5   0.5  -0",484.03,355.038,190.147,17.584
387,Zr1 Ta2 W1 C4,"Full Formula (Zr1 Ta2 W1 C4)
Reduced Formula: ZrTa2WC4
abc   :   4.509100   4.489148   4.489148
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta    -0    0    -0
  5  Ta    -0    0.5   0.5
  6  W      0.5  0     0.5
  7  Zr     0.5  0.5   0",503.038,313.7,204.033,23.9
388,Zr2 Ta2 C4,"Full Formula (Zr2 Ta2 C4)
Reduced Formula: ZrTaC2
abc   :   4.566417   4.585674   4.585674
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0     0
  5  Ta    -0     0.5   0.5
  6  Zr     0.5   0     0.5
  7  Zr     0.5   0.5  -0",478.954,278.483,197.368,26.163
389,Ta1 Ti3 C4,"Full Formula (Ta1 Ti3 C4)
Reduced Formula: TaTi3C4
abc   :   4.375581   4.375581   4.375581
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Ti     0.5   0.5  -0",505.149,286.666,209.378,28.264
390,Ti1 V1 Cr2 C4,"Full Formula (Ti1 V1 Cr2 C4)
Reduced Formula: TiV(CrC2)2
abc   :   4.153370   4.159510   4.159510
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0    -0
  5  Cr     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  V      0.5   0.5   0",477.324,309.753,191.979,21.542
391,Ta1 Ti2 V1 C4,"Full Formula (Ta1 Ti2 V1 C4)
Reduced Formula: TaTi2VC4
abc   :   4.340050   4.340050   4.332916
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0     0
  5  Ti     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  V      0.5   0.5   0",484.423,294.933,197.522,24.313
392,Ta1 Ti2 W1 C4,"Full Formula (Ta1 Ti2 W1 C4)
Reduced Formula: TaTi2WC4
abc   :   4.382545   4.382545   4.363723
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ta    -0    0     0
  5  Ti    -0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5   0",549.567,318.154,226.699,28.815
393,Zr1 Ta1 Ti2 C4,"Full Formula (Zr1 Ta1 Ti2 C4)
Reduced Formula: ZrTa(TiC2)2
abc   :   4.475340   4.475340   4.465080
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0    -0    -0
  5  Ti    0     0.5   0.5
  6  Ti    0.5  -0     0.5
  7  Zr    0.5   0.5   0",473.149,267.868,196.229,27.208
394,Ta1 Ti1 V2 C4,"Full Formula (Ta1 Ti1 V2 C4)
Reduced Formula: TaTi(VC2)2
abc   :   4.296177   4.299945   4.299945
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0     0     0
  5  Ti    -0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5   0",527.746,301.051,218.469,28.807
395,Ta1 Ti1 W2 C4,"Full Formula (Ta1 Ti1 W2 C4)
Reduced Formula: TaTi(WC2)2
abc   :   4.387995   4.384758   4.384758
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0     0
  5  Ti    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5   0",529.845,342.701,213.249,23.214
396,Zr2 Ta1 Ti1 C4,"Full Formula (Zr2 Ta1 Ti1 C4)
Reduced Formula: Zr2TaTiC4
abc   :   4.550893   4.565283   4.565283
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b    c
---  ----  ----  ----  ---
  0  C     -0     0.5  0
  1  C      0.5  -0    0
  2  C     -0    -0    0.5
  3  C      0.5   0.5  0.5
  4  Ta    -0    -0    0
  5  Ti    -0     0.5  0.5
  6  Zr     0.5   0    0.5
  7  Zr     0.5   0.5  0",458.196,256.907,190.479,27.108
397,Ta1 V3 C4,"Full Formula (Ta1 V3 C4)
Reduced Formula: TaV3C4
abc   :   4.260466   4.260466   4.260466
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0    -0
  5  V     -0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5  -0",538.886,315.148,221.762,27.954
398,Ta1 V2 W1 C4,"Full Formula (Ta1 V2 W1 C4)
Reduced Formula: TaV2WC4
abc   :   4.318701   4.318701   4.302099
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0    -0     0
  5  V     0     0.5   0.5
  6  V     0.5  -0     0.5
  7  W     0.5   0.5   0",496.287,335.617,197.954,20.582
399,Zr1 Ta1 V2 C4,"Full Formula (Zr1 Ta1 V2 C4)
Reduced Formula: ZrTa(VC2)2
abc   :   4.409163   4.409163   4.383020
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0    -0    -0
  5  V     0     0.5   0.5
  6  V     0.5  -0     0.5
  7  Zr    0.5   0.5   0",483.481,280.616,199.317,26.406
400,Ta1 V1 W2 C4,"Full Formula (Ta1 V1 W2 C4)
Reduced Formula: TaV(WC2)2
abc   :   4.357863   4.359398   4.359398
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta     0    -0    -0
  5  V      0     0.5   0.5
  6  W      0.5   0     0.5
  7  W      0.5   0.5   0",532.247,354.151,212.98,22.173
401,Ti1 Cr2 W1 C4,"Full Formula (Ti1 Cr2 W1 C4)
Reduced Formula: TiCr2WC4
abc   :   4.234343   4.224317   4.224317
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0    -0    -0
  5  Cr     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  W      0.5   0.5   0",468.129,323.684,185.919,19.043
402,Zr2 Ta1 V1 C4,"Full Formula (Zr2 Ta1 V1 C4)
Reduced Formula: Zr2TaVC4
abc   :   4.507026   4.539032   4.539032
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  C     0    0.5  0
  1  C     0.5  0    0
  2  C     0    0    0.5
  3  C     0.5  0.5  0.5
  4  Ta    0    0    0
  5  V     0    0.5  0.5
  6  Zr    0.5  0    0.5
  7  Zr    0.5  0.5  0",445.794,260.843,183.43,24.691
403,Ta1 W3 C4,"Full Formula (Ta1 W3 C4)
Reduced Formula: TaW3C4
abc   :   4.401394   4.401394   4.401394
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0     0     0
  5  W      0     0.5   0.5
  6  W      0.5   0     0.5
  7  W      0.5   0.5   0",377.028,368.003,141.82,8.821
404,Zr1 Ta1 W2 C4,"Full Formula (Zr1 Ta1 W2 C4)
Reduced Formula: ZrTa(WC2)2
abc   :   4.468331   4.468331   4.466455
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Ta    0    -0    -0
  5  W     0     0.5   0.5
  6  W     0.5  -0     0.5
  7  Zr    0.5   0.5  -0",502.949,326.064,202.326,22.34
405,Zr2 Ta1 W1 C4,"Full Formula (Zr2 Ta1 W1 C4)
Reduced Formula: Zr2TaWC4
abc   :   4.527863   4.557569   4.557569
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0    -0    -0
  5  W      0     0.5   0.5
  6  Zr     0.5   0     0.5
  7  Zr     0.5   0.5   0",457.128,285.1,185.407,22.437
406,Zr3 Ta1 C4,"Full Formula (Zr3 Ta1 C4)
Reduced Formula: Zr3TaC4
abc   :   4.641007   4.641007   4.641007
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ta    -0     0    -0
  5  Zr    -0     0.5   0.5
  6  Zr     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",449.678,249.347,187.455,27.315
407,Ti3 V1 C4,"Full Formula (Ti3 V1 C4)
Reduced Formula: Ti3VC4
abc   :   4.289773   4.289773   4.289773
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ti    -0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  V      0.5   0.5  -0",484.56,278.21,200.278,26.954
408,Ti3 W1 C4,"Full Formula (Ti3 W1 C4)
Reduced Formula: Ti3WC4
abc   :   4.334657   4.334657   4.334657
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ti    -0    -0    -0
  5  Ti    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  W      0.5   0.5   0",503.705,302.604,206.002,25.529
409,Zr1 Ti3 C4,"Full Formula (Zr1 Ti3 C4)
Reduced Formula: ZrTi3C4
abc   :   4.443212   4.443212   4.443212
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ti    -0    -0     0
  5  Ti     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",417.535,245.453,171.615,23.458
410,Ti2 V2 C4,"Full Formula (Ti2 V2 C4)
Reduced Formula: TiVC2
abc   :   4.231711   4.250521   4.250521
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ti     0    -0    -0
  5  Ti     0     0.5   0.5
  6  V      0.5  -0     0.5
  7  V      0.5   0.5  -0",479.233,293.635,195.129,23.874
411,Ti2 V1 W1 C4,"Full Formula (Ti2 V1 W1 C4)
Reduced Formula: Ti2VWC4
abc   :   4.293601   4.299559   4.299559
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Ti     0     0     0
  5  Ti    -0     0.5   0.5
  6  V      0.5   0     0.5
  7  W      0.5   0.5  -0",526.599,310.997,216.211,27.073
412,Zr1 Ti1 Cr2 C4,"Full Formula (Zr1 Ti1 Cr2 C4)
Reduced Formula: ZrTi(CrC2)2
abc   :   4.279827   4.340705   4.340705
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr     0    0     0
  5  Cr    -0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  Zr     0.5  0.5  -0",390.869,258.846,156.557,18.179
413,Zr1 Ti2 V1 C4,"Full Formula (Zr1 Ti2 V1 C4)
Reduced Formula: ZrTi2VC4
abc   :   4.411410   4.393403   4.393403
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Ti     0    0     0
  5  Ti    -0    0.5   0.5
  6  V      0.5  0     0.5
  7  Zr     0.5  0.5  -0",418.965,252.34,171.246,22.522
414,Ti2 W2 C4,"Full Formula (Ti2 W2 C4)
Reduced Formula: TiWC2
abc   :   4.317722   4.357417   4.357417
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5   0     0
  2  C     0     0     0.5
  3  C     0.5   0.5   0.5
  4  Ti    0     0    -0
  5  Ti    0     0.5   0.5
  6  W     0.5  -0     0.5
  7  W     0.5   0.5   0",526.016,337.079,212.118,23.478
415,Zr1 Ti2 W1 C4,"Full Formula (Zr1 Ti2 W1 C4)
Reduced Formula: ZrTi2WC4
abc   :   4.431823   4.432488   4.432488
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Ti    -0    -0     0
  5  Ti    -0     0.5   0.5
  6  W      0.5   0     0.5
  7  Zr     0.5   0.5  -0",481.195,278.936,198.434,26.383
