,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
32,V2 Cr1 W1 C4,"Full Formula (V2 Cr1 W1 C4)
Reduced Formula: V2CrWC4
abc   :   4.206146   4.206146   4.207661
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b     c
---  ----  ---  ---  ----
  0  C     0    0.5   0
  1  C     0.5  0     0
  2  C     0    0     0.5
  3  C     0.5  0.5   0.5
  4  Cr    0    0    -0
  5  V     0    0.5   0.5
  6  V     0.5  0     0.5
  7  W     0.5  0.5  -0",496.366,338.094,197.706,20.33
33,Zr1 V2 Cr1 C4,"Full Formula (Zr1 V2 Cr1 C4)
Reduced Formula: ZrV2CrC4
abc   :   4.288555   4.288555   4.311664
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0    -0
  5  V     0     0.5   0.5
  6  V     0.5  -0     0.5
  7  Zr    0.5   0.5   0",419.63,271.789,168.842,19.834
34,V1 Cr1 W2 C4,"Full Formula (V1 Cr1 W2 C4)
Reduced Formula: VCr(WC2)2
abc   :   4.255835   4.273811   4.273811
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  V     -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5   0",490.398,354.865,193.119,18.162
35,Hf1 Ta1 Cr2 C4,"Full Formula (Hf1 Ta1 Cr2 C4)
Reduced Formula: HfTa(CrC2)2
abc   :   4.341462   4.370544   4.370544
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  Cr    -0     0.5   0.5
  6  Hf     0.5   0     0.5
  7  Ta     0.5   0.5   0",432.589,286.79,173.229,19.431
36,Zr2 V1 Cr1 C4,"Full Formula (Zr2 V1 Cr1 C4)
Reduced Formula: Zr2VCrC4
abc   :   4.388136   4.477203   4.477203
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b    c
---  ----  ----  ---  ---
  0  C     -0    0.5  0
  1  C      0.5  0    0
  2  C      0    0    0.5
  3  C      0.5  0.5  0.5
  4  Cr    -0    0    0
  5  V     -0    0.5  0.5
  6  Zr     0.5  0    0.5
  7  Zr     0.5  0.5  0",397.902,240.171,162.558,21.683
37,Cr1 W3 C4,"Full Formula (Cr1 W3 C4)
Reduced Formula: CrW3C4
abc   :   4.320606   4.320606   4.320606
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  W      0     0.5   0.5
  6  W      0.5   0     0.5
  7  W      0.5   0.5   0",459.088,368.423,177.622,14.5
38,Zr1 Cr1 W2 C4,"Full Formula (Zr1 Cr1 W2 C4)
Reduced Formula: ZrCr(WC2)2
abc   :   4.393228   4.393228   4.389818
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0     0
  5  W     0     0.5   0.5
  6  W     0.5  -0     0.5
  7  Zr    0.5   0.5  -0",459.739,316.326,182.759,18.974
39,Zr2 Cr1 W1 C4,"Full Formula (Zr2 Cr1 W1 C4)
Reduced Formula: Zr2CrWC4
abc   :   4.440913   4.497651   4.497651
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  W      0     0.5   0.5
  6  Zr     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",432.266,267.273,175.654,21.952
40,Zr3 Cr1 C4,"Full Formula (Zr3 Cr1 C4)
Reduced Formula: Zr3CrC4
abc   :   4.584720   4.584720   4.584720
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  C     0    0.5  0
  1  C     0.5  0    0
  2  C     0    0    0.5
  3  C     0.5  0.5  0.5
  4  Cr    0    0    0
  5  Zr    0    0.5  0.5
  6  Zr    0.5  0    0.5
  7  Zr    0.5  0.5  0",374.262,225.276,152.996,20.921
41,Hf3 Mo1 C4,"Full Formula (Hf3 Mo1 C4)
Reduced Formula: Hf3MoC4
abc   :   4.570777   4.570777   4.570777
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Hf    -0     0    -0
  5  Hf    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  Mo     0.5   0.5  -0",474.274,272.743,195.952,26.506
